Reference,Journal_name,Publication_year,Experiment_year,IF,Data_details,Variable_name,Variable_identity,Plant_species,Plant_status,Herbivore_feeding_guild,cor,n,zr,var,Bio_var
Nooten & Hughes 2013,Australian Journal of Entomology,2013,2010,1.5,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Angophora hispida,Native,Defoliators,-0.10249130223565248,3,-0.10285245337170462,1,Bio_5
Nooten & Hughes 2013,Australian Journal of Entomology,2013,2010,1.5,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Angophora hispida,Native,Gallers,-0.31059105223955086,3,-0.32119943315206834,1,Bio_5
Nooten & Hughes 2013,Australian Journal of Entomology,2013,2010,1.5,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Angophora hispida,Native,Miners,0.9516438101785032,3,1.8489165205981746,1,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Achillea millefolium,Native,Defoliators,0.47054596210379884,5,0.5107713275888481,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Anaphalis margaritacea,Native,Defoliators,0.26055738604993023,5,0.26670629700965637,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Cirsium arvense,Non-native,Defoliators,0.7245490895218453,5,0.9171557342912622,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Eupatorium maculatum,Native,Defoliators,0.8133073698674951,5,1.1367220788035324,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Leucanthemum vulgare,Non-native,Defoliators,-0.016574089429298416,5,-0.016575607316039975,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Rudbeckia hirta,Native,Defoliators,0.9100778050511541,5,1.5279772299870567,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Sonchus arvensis,Non-native,Defoliators,0.6397344651296707,5,0.7577241198907788,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 2,Leaf damage (%),Herbivory,Taraxacum officinale,Non-native,Defoliators,0.6593983024992404,5,0.7917482975993365,0.5,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 4,Mean Leaf Damage (proportion),Herbivory,Cirsium arvense,Non-native,Defoliators,0.7232518630294813,47,0.914430281563403,0.022727272727272728,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 4,Stem Galls (proportion),Herbivory,Cirsium arvense,Non-native,Stem feeders,0.512266506822304,25,0.5657978330978354,0.045454545454545456,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 5(a),Proportion of Infested Capitula (all seed predators),Herbivory,Cirsium arvense,Non-native,Seed feeders,0.19076641882197062,44,0.19313241228053935,0.024390243902439025,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 5(b),Proportion of Infested Capitula (Larinus planus),Herbivory,Cirsium arvense,Non-native,Seed feeders,0.5331932577266527,30,0.5945962960347977,0.037037037037037035,Bio_5
Nunes et al. 2016,Plant Ecology,2016,2012,1.9,Data from Figure 5(c),Proportion of Infested Capitula (Terellia ruficauda),Herbivory,Cirsium arvense,Non-native,Seed feeders,-0.16494692006523057,34,-0.1664677555857224,0.03225806451612903,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus acutissima,Non-native,Defoliators,0.03857279928244047,7,0.038591946697801145,0.25,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus aliena,Non-native,Defoliators,-0.10910386625804856,5,-0.10953989627546062,0.5,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus bicolor,Native,Defoliators,0.9882369449250876,3,2.5650199368442617,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus castaneifolia,Non-native,Defoliators,-0.7286065614164232,3,-0.9257506680925647,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus cerris,Non-native,Defoliators,0.06829571508176363,5,0.06840219724840643,0.5,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus dentata,Non-native,Defoliators,0.8230307105771919,3,1.1661397046388913,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus gambelii,Native,Defoliators,-0.7032384543176832,4,-0.8736788755889285,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus garryana,Native,Defoliators,-0.8270203193925506,3,-1.1786337717891031,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus georgiana,Native,Defoliators,-0.34877683429695516,3,-0.36405051206472455,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus glandulifera,Non-native,Defoliators,-0.041230502629415605,5,-0.04125388981239907,0.5,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus grisea,Native,Defoliators,0.8561207754651945,4,1.2786348775350775,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus ilicifolia,Native,Defoliators,0.7378920540765387,4,0.9458358841843114,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus imbricaria,Native,Defoliators,-0.3845080612802216,3,-0.40533915835045026,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus lyrata,Native,Defoliators,0.8380841728510662,6,1.2147012415296163,0.3333333333333333,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus michauxii,Native,Defoliators,0.4127505606411886,4,0.43892208325215515,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus mongolica,Non-native,Defoliators,0.06959869184321486,5,0.06971139776720725,0.5,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus muehlenbergii,Native,Defoliators,-0.9026378281285692,3,-1.4862793884211487,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus phellos,Native,Defoliators,0.4344146685304174,3,0.4653254843502477,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus prinoides,Native,Defoliators,-0.9225428989104194,3,-1.605839883241937,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus robur,Non-native,Defoliators,-0.24235801858042325,5,-0.24727776332198567,0.5,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus rubra,Native,Defoliators,0.18137015464322365,3,0.18339908471706623,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus rugosa,Native,Defoliators,-0.23669854505741286,4,-0.24127379967571091,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus serrata,Non-native,Defoliators,0.9959447796494321,3,3.0994338822153895,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus shumardii,Native,Defoliators,0.04273356134148967,6,0.04275960261522696,0.3333333333333333,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus suber,Non-native,Defoliators,-0.8345372354055325,3,-1.2029006793675106,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus texana,Native,Defoliators,-0.754912835440604,3,-0.9842802736334256,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus turbinella,Native,Defoliators,0.7509742181883488,3,0.9751855878052372,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus variabilis,Non-native,Defoliators,-0.702637997914767,4,-0.8724919159748594,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus velutina,Native,Defoliators,0.41839124518260684,3,0.44574030166429146,1,Bio_5
Pearse & Hipp 2014,Proceedings of the Royal Society B,2014,2014,4.7,Data from the Dryad,Proportion (leaf area) chewing damage,Herbivory,Quercus virginiana,Native,Defoliators,0.8498401220985493,3,1.2555769573478546,1,Bio_5
Prendeville et al. 2015,Ecology,2015,2011,5.5,Data from Figure 1,Proportion browsed_2011,Herbivory,Campanula americana,Native,Grazers,0.41718122722391987,16,0.4442744206823001,0.07692307692307693,Bio_5
Prendeville et al. 2015,Ecology,2015,2012,5.5,Data from Figure 1,Proportion browsed_2012,Herbivory,Campanula americana,Native,Grazers,0.29964093242085305,15,0.309125071127764,0.08333333333333333,Bio_5
Prendeville et al. 2015,Ecology,2015,2013,5.5,Data from Figure 1,Proportion browsed_2013,Herbivory,Campanula americana,Native,Grazers,0.15952630886164937,17,0.16090059767711712,0.07142857142857142,Bio_5
Rivkin et al. 2018,American Journal of Botany,2018,2015,3.2,Data from Appendix S2,Larval abundance,Herbivore abundance,Sagittaria latifolia,Native,Defoliators,0.26127333177875717,82,0.26747454249390495,0.012658227848101266,Bio_5
Rivkin et al. 2018,American Journal of Botany,2018,2015,3.2,Data from Appendix S2,Leaf damage,Herbivory,Sagittaria latifolia,Native,Defoliators,0.18676307384551066,82,0.18898114235288577,0.012658227848101266,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Area loss,Herbivory,Aegiceras corniculatum,Native,Defoliators,0.8356361152827585,3,1.2065317890466947,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Area loss,Herbivory,Avicennia marina,Native,Defoliators,-0.27005048118293523,3,-0.2769182740898469,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Area loss,Herbivory,Bruguiera gymnorrhiza,Native,Defoliators,0.5908358009533924,3,0.6789491389704305,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Area loss,Herbivory,Excoecaria agallocha,Native,Defoliators,-0.4791094075153118,3,-0.5218277047418771,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Area loss,Herbivory,Rhizophora stylosa,Native,Defoliators,-0.6601053156796176,4,-0.7930002524451878,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Damaged Leaves,Herbivory,Aegiceras corniculatum,Native,All folivores,0.6447211041979335,3,0.7662115021455075,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Damaged Leaves,Herbivory,Avicennia marina,Native,All folivores,-0.73698085202284,3,-0.9438384535326182,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Damaged Leaves,Herbivory,Bruguiera gymnorrhiza,Native,All folivores,-0.21245298843350402,3,-0.21573889174435812,1,Bio_5
Robertson & Duke 1987,Australian Journal of Ecology,1987,1984,1.7,Data from Table 1,Damaged Leaves,Herbivory,Excoecaria agallocha,Native,All folivores,-0.09087639963071178,3,-0.09112781479004849,1,Bio_5
Sakata et al. 2013,Journal of Plant Interactions,2013,2012,3.9,Data from Table 1,No. aphids,Herbivore abundance,Solidago altissima,Non-native,Sap feeders,-0.15609698599831962,15,-0.15738368398138203,0.08333333333333333,Bio_5
Sakata et al. 2013,Journal of Plant Interactions,2013,2012,3.9,Data from Table 1,No. lacebugs,Herbivore abundance,Solidago altissima,Non-native,Sap feeders,0.4764839777729152,15,0.5184256069090101,0.08333333333333333,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 1,Percentage of herbivore damage,Herbivory,Piper aduncum,Native,Defoliators,0.020520600128246302,6,0.020523481230451664,0.3333333333333333,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 1,Percentage of herbivore damage,Herbivory,Piper aequale,Native,Defoliators,0.3817349136364722,6,0.4020889322639623,0.3333333333333333,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Generalist_North,Herbivory,Piper aduncum,Native,Defoliators,-0.9957698021822603,3,-3.078268181632311,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Generalist_North,Herbivory,Piper aequale,Native,Defoliators,-0.8153695181738239,3,-1.1428439425839843,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Generalist_South,Herbivory,Piper aduncum,Native,Defoliators,-0.9940666869639863,3,-2.9086743230242336,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Generalist_South,Herbivory,Piper aequale,Native,Defoliators,-0.7305971124817703,3,-0.9300068987074703,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Genus specialist_North,Herbivory,Piper aduncum,Native,Defoliators,-0.9898945166724724,3,-2.641379364686236,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Genus specialist_North,Herbivory,Piper aequale,Native,Defoliators,-0.886371970526236,3,-1.4047402283917316,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Genus specialist_South,Herbivory,Piper aduncum,Native,Defoliators,-0.999049200922208,3,-3.8254397301949963,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Genus specialist_South,Herbivory,Piper aequale,Native,Defoliators,-0.9445746867580153,3,-1.778881077484998,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Specialist_North,Herbivory,Piper aduncum,Native,Defoliators,-0.9715815400212535,3,-2.1197761892917217,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Specialist_North,Herbivory,Piper aequale,Native,Defoliators,0.8512859668963766,3,1.2608052864520631,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Specialist_South,Herbivory,Piper aduncum,Native,Defoliators,-0.9831370554603486,3,-2.383658328768099,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,10.8,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_Specialist_South,Herbivory,Piper aequale,Native,Defoliators,0.6966291211785487,3,0.8607213060713206,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_all herbivore_North,Herbivore abundance,Piper aduncum,Native,Defoliators,-0.9899719431276386,3,-2.645244483526002,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_all herbivore_North,Herbivore abundance,Piper aequale,Native,Defoliators,-0.8679281567707358,3,-1.3246195583305556,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_all herbivore_South,Herbivore abundance,Piper aduncum,Native,Defoliators,-0.9938603649628049,3,-2.8915313101360836,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure 2,Herbivore species abundance per 100m2 of leaf area_all herbivore_South,Herbivore abundance,Piper aequale,Native,Defoliators,-0.9318254130275285,3,-1.6720743871955277,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure S2,Total Herbivore abundance_North,Herbivore abundance,Piper aduncum,Native,Defoliators,-0.608513081970565,3,-0.7065566898967047,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure S2,Total Herbivore abundance_North,Herbivore abundance,Piper aequale,Native,Defoliators,-0.996435288236305,3,-3.164017657237473,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure S2,Total Herbivore abundance_South,Herbivore abundance,Piper aduncum,Native,Defoliators,-0.6980113787312245,3,-0.8634118646784502,1,Bio_5
Salazar & Marquis 2012,PNAS,2012,2012,13.451,Data from Figure S2,Total Herbivore abundance_South,Herbivore abundance,Piper aequale,Native,Defoliators,-0.9866135600590709,3,-2.4999722448158725,1,Bio_5
Siemann et al. 2006,Proceedings of the Royal Society B,2006,2003,4.7,Data from Figure 1,% damage in 2 week assay_native tree seedlings,Herbivory,Triadica sebifera,Native,Defoliators,0.21186657666164366,4,0.21512484041220747,1,Bio_5
Siemann et al. 2006,Proceedings of the Royal Society B,2006,2003,4.7,Data from Figure 1,% damage in 2 week assay_tallow tree seedlings,Herbivory,Triadica sebifera,Non-native,Defoliators,-0.7854308204665171,4,-1.0593914097084571,1,Bio_5
Toju & Sota 2006,American Naturalist,2006,2003,3,Data from Table 2,Seed predation,Herbivory,Camellia japonica,Native,Seed feeders,0.19294242383795113,17,0.19539157381061267,0.07142857142857142,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Incidence.of.gall.inducers_2018_survey 1,Herbivory,Quercus robur,Native,Gallers,0.19323287051578453,116,0.19569326852656607,0.008849557522123894,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Incidence.of.gall.inducers_2018_survey 2,Herbivory,Quercus robur,Native,Gallers,0.2870696361462631,125,0.2953697821159025,0.00819672131147541,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Incidence.of.leaf.miners_2018_survey 1,Herbivory,Quercus robur,Native,Miners,-0.13507491457983978,116,-0.1359055175208957,0.008849557522123894,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Incidence.of.leaf.miners_2018_survey 2,Herbivory,Quercus robur,Native,Miners,-0.09583818700276091,125,-0.09613323797979874,0.00819672131147541,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Leaf damage_2018_survey 1,Herbivory,Quercus robur,Native,All folivores,-0.006318709200657034,116,-0.006318793296447185,0.008849557522123894,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2018,7.7,Data from Dryad,Leaf damage_2018_survey 2,Herbivory,Quercus robur,Native,All folivores,-0.04347426264381709,125,-0.04350168269736715,0.00819672131147541,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Incidence.of.gall.inducers_2019_survey 1,Herbivory,Quercus robur,Native,Gallers,0.22229045046290133,54,0.22606433558127392,0.0196078431372549,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Incidence.of.gall.inducers_2019_survey 2,Herbivory,Quercus robur,Native,Gallers,0.2318264339185224,53,0.23611877374653872,0.02,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Incidence.of.leaf.miners_2019_survey 1,Herbivory,Quercus robur,Native,Miners,0.3121674439794595,54,0.3229450779549912,0.0196078431372549,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Incidence.of.leaf.miners_2019_survey 2,Herbivory,Quercus robur,Native,Miners,0.3384155417067373,51,0.35230205470895437,0.020833333333333332,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Leaef damage_2019_survey 1,Herbivory,Quercus robur,Native,All folivores,-0.11226805509608354,54,-0.11274333446346742,0.0196078431372549,Bio_5
Valdés-Correcher et al. 2021,Global Ecology and Biogeography,2021,2019,7.7,Data from Dryad,Leaef damage_2019_survey 2,Herbivory,Quercus robur,Native,All folivores,-0.09835641008857006,51,-0.0986754299547512,0.020833333333333332,Bio_5
Verhoeven & Biere 2013,BMC Evolutionary Biology,2013,2005,NA,Data from Table 1,Weevil infection,Herbivore abundance,Taraxacum officinale,Native,Seed feeders,-0.304247479719456,12,-0.3141937433736511,0.1111111111111111,Bio_5
Wang et al. 2016,Scientific Reports,2016,2014,4.3,Data from Figure 4,% leaf area loss_Mature tree,Herbivory,Quercus variabilis,Native,Defoliators,-0.11349956943283636,14,-0.11399074440537783,0.09090909090909091,Bio_5
Wang et al. 2016,Scientific Reports,2016,2014,4.3,Data from Figure 4,% the damaged leaves number_Juvenile tree,Herbivory,Quercus variabilis,Native,All folivores,-0.1440051255169348,14,-0.14501313195314527,0.09090909090909091,Bio_5
Wright & Giliomee 1992,African Journal of Ecology,1992,1987,1.18,Data from Figure 1,Losses,Herbivory,Protea laurifolia,Native,Defoliators,0.12206055313553746,3,0.12267221471042913,1,Bio_5
Wright & Giliomee 1992,African Journal of Ecology,1992,1987,1.18,Data from Figure 1,Losses,Herbivory,Protea magnifica,Native,Defoliators,0.8710995594499096,3,1.3376206045223313,1,Bio_5
Yuan et al. 2022,Journal of Plant Ecology,2022,2019,2.5,Data from Figure 2(e),Density of C. marmorata,Herbivore abundance,Solidago canadensis,Non-native,Sap feeders,-0.2286403509557954,91,-0.2327543477769378,0.011363636363636364,Bio_5
Yuan et al. 2022,Journal of Plant Ecology,2022,2019,2.5,Data from Figure 2(f),Damage level,Herbivory,Solidago canadensis,Non-native,Sap feeders,0.06339848695846005,177,0.06348363301269881,0.005747126436781609,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,number of Eriocrania mines.,Herbivore abundance,Betula pendula,Native,Miners,0.3182572991478058,9,0.3297068001062218,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,number of Eriocrania mines.,Herbivore abundance,Betula pubescens,Native,Miners,-0.11531136186143694,10,-0.11582656571297784,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pendula,Native,Miners,0.03357200560499432,9,0.033584626914999034,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pubescens,Native,Miners,-0.11289435552693312,10,-0.11337767488137153,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,percentage of leaf area lost to defoliating and leafmining insects.,Herbivory,Betula pendula,Native,All folivores,0.7233085613291874,9,0.9145491793909372,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2016,4.7,Data from Dryad,percentage of leaf area lost to defoliating and leafmining insects.,Herbivory,Betula pubescens,Native,All folivores,0.8042174268119718,10,1.1104387475952355,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2017,4.7,Data from Dryad,number of Eriocrania mines.,Herbivore abundance,Betula pubescens,Native,Miners,0.14058464768079817,10,0.14152196179538937,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2017,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pendula,Native,Miners,0.44081242820919303,9,0.4732387270206263,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2017,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pubescens,Native,Miners,0.047753958782456495,10,0.047790308553340925,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2017,4.7,Data from Dryad,percentage of leaf area lost to defoliating and leafmining insects.,Herbivory,Betula pendula,Native,All folivores,0.025267237833756277,9,0.02527261704320918,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2017,4.7,Data from Dryad,percentage of leaf area lost to defoliating and leafmining insects.,Herbivory,Betula pubescens,Native,All folivores,0.7138488274306106,10,0.8949883249894393,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2018,4.7,Data from Dryad,number of Eriocrania mines.,Herbivore abundance,Betula pendula,Native,Miners,-0.608308482692754,9,-0.7062318447343507,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2018,4.7,Data from Dryad,number of Eriocrania mines.,Herbivore abundance,Betula pubescens,Native,Miners,-0.3982548136290603,10,-0.4215730495289422,0.14285714285714285,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2018,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pendula,Native,Miners,0.5276637994512259,9,0.5869019488268699,0.16666666666666666,Bio_5
Zvereva et al. 2020,Journal of Animal Ecology,2020,2018,4.7,Data from Dryad,number of Stigmella mines.,Herbivore abundance,Betula pubescens,Native,Miners,0.47032970066598273,10,0.510493602271923,0.14285714285714285,Bio_5
